SNo,Name,ItemId,ItemName,Quantity,Rate,Total,CostCenterId,Date
89,Restaurant1,9,Soft Drinks-Coke-250ml,14,100,1400,2,2018-07-07
90,Restaurant1,10,Tuborg,11,450,4950,2,2018-07-07
91,Restaurant1,2,Cafe Latte,2,160,320,3,2018-07-08
92,Restaurant1,3,Chicken Mo:Mo,41,300,12300,1,2018-07-08
93,Restaurant1,5,Mineral Water,25,80,2000,2,2018-07-08
94,Restaurant1,9,Soft Drinks-Coke-250ml,20,100,2000,2,2018-07-08
95,Restaurant1,10,Tuborg,21,450,9450,2,2018-07-08
96,Restaurant1,2,Cafe Latte,1,160,160,3,2018-07-28
97,Restaurant1,3,Chicken Mo:Mo,6,300,1800,1,2018-07-28
98,Restaurant1,5,Mineral Water,9,80,720,2,2018-07-28
99,Restaurant1,9,Soft Drinks-Coke-250ml,4,100,400,2,2018-07-28
100,Restaurant1,10,Tuborg,2,450,900,2,2018-07-28
101,Restaurant1,2,Cafe Latte,1,160,160,3,2018-07-29
102,Restaurant1,3,Chicken Mo:Mo,6,300,1800,1,2018-07-29
103,Restaurant1,5,Mineral Water,5,80,400,2,2018-07-29
104,Restaurant1,9,Soft Drinks-Coke-250ml,6,100,600,2,2018-07-29
105,Restaurant1,3,Chicken Mo:Mo,5,300,1500,1,2018-07-30
106,Restaurant1,5,Mineral Water,18,80,1440,2,2018-07-30
107,Restaurant1,9,Soft Drinks-Coke-250ml,1,100,100,2,2018-07-30
108,Restaurant1,10,Tuborg,11,450,4950,2,2018-07-30
109,Restaurant1,2,Cafe Latte,1,160,160,3,2018-07-31
110,Restaurant1,3,Chicken Mo:Mo,9,300,2700,1,2018-07-31
111,Restaurant1,5,Mineral Water,15,80,1200,2,2018-07-31
112,Restaurant1,6,Mineral Water (P),30,60,1800,2,2018-07-31
113,Restaurant1,9,Soft Drinks-Coke-250ml,3,100,300,2,2018-07-31
114,Restaurant1,10,Tuborg,9,450,4050,2,2018-07-31
115,Restaurant1,3,Chicken Mo:Mo,1,300,300,1,2018-08-01
116,Restaurant1,9,Soft Drinks-Coke-250ml,2,100,200,2,2018-08-01
117,Restaurant1,2,Cafe Latte,5,160,800,3,2018-08-02
118,Restaurant1,3,Chicken Mo:Mo,16,300,4800,1,2018-08-02
119,Restaurant1,5,Mineral Water,4,80,320,2,2018-08-02
120,Restaurant1,6,Mineral Water (P),4,60,240,2,2018-08-02
121,Restaurant1,9,Soft Drinks-Coke-250ml,7,100,700,2,2018-08-02
122,Restaurant1,10,Tuborg,2,450,900,2,2018-08-02
123,Restaurant1,2,Cafe Latte,2,160,320,3,2018-08-03
124,Restaurant1,3,Chicken Mo:Mo,13,300,3900,1,2018-08-03
125,Restaurant1,5,Mineral Water,6,80,480,2,2018-08-03
126,Restaurant1,9,Soft Drinks-Coke-250ml,18,100,1800,2,2018-08-03
127,Restaurant1,10,Tuborg,11,450,4950,2,2018-08-03
128,Restaurant1,2,Cafe Latte,5,160,800,3,2018-08-04
129,Restaurant1,3,Chicken Mo:Mo,16,300,4800,1,2018-08-04
130,Restaurant1,5,Mineral Water,7,80,560,2,2018-08-04
131,Restaurant1,9,Soft Drinks-Coke-250ml,3,100,300,2,2018-08-04
132,Restaurant1,3,Chicken Mo:Mo,9,300,2700,1,2018-08-05
133,Restaurant1,5,Mineral Water,10,80,800,2,2018-08-05
134,Restaurant1,2,Cafe Latte,3,160,480,3,2018-08-06
135,Restaurant1,3,Chicken Mo:Mo,6,300,1800,1,2018-08-06
136,Restaurant1,5,Mineral Water,3,80,240,2,2018-08-06
137,Restaurant1,9,Soft Drinks-Coke-250ml,4,100,400,2,2018-08-06
138,Restaurant1,2,Cafe Latte,3,160,480,3,2018-08-07
139,Restaurant1,3,Chicken Mo:Mo,11,300,3300,1,2018-08-07
140,Restaurant1,5,Mineral Water,7,80,560,2,2018-08-07
141,Restaurant1,9,Soft Drinks-Coke-250ml,3,100,300,2,2018-08-07
142,Restaurant1,2,Cafe Latte,2,160,320,3,2018-08-08
143,Restaurant1,3,Chicken Mo:Mo,4,300,1200,1,2018-08-08
144,Restaurant1,5,Mineral Water,5,80,400,2,2018-08-08
145,Restaurant1,9,Soft Drinks-Coke-250ml,2,100,200,2,2018-08-08
146,Restaurant1,2,Cafe Latte,2,160,320,3,2018-08-09
147,Restaurant1,3,Chicken Mo:Mo,5,300,1500,1,2018-08-09
148,Restaurant1,5,Mineral Water,4,80,320,2,2018-08-09
149,Restaurant1,6,Mineral Water (P),4,60,240,2,2018-08-09
150,Restaurant1,9,Soft Drinks-Coke-250ml,3,100,300,2,2018-08-09
151,Restaurant1,2,Cafe Latte,2,160,320,3,2018-08-10
152,Restaurant1,3,Chicken Mo:Mo,6,300,1800,1,2018-08-10
153,Restaurant1,5,Mineral Water,3,80,240,2,2018-08-10
154,Restaurant1,9,Soft Drinks-Coke-250ml,9,100,900,2,2018-08-10
155,Restaurant1,10,Tuborg,5,450,2250,2,2018-08-10
156,Restaurant1,3,Chicken Mo:Mo,2,300,600,1,2018-08-11
157,Restaurant1,5,Mineral Water,1,80,80,2,2018-08-11
158,Restaurant1,6,Mineral Water (P),4,60,240,2,2018-08-11
159,Restaurant1,3,Chicken Mo:Mo,17,300,5100,1,2018-08-12
160,Restaurant1,5,Mineral Water,4,80,320,2,2018-08-12
161,Restaurant1,9,Soft Drinks-Coke-250ml,8,100,800,2,2018-08-12
162,Restaurant1,10,Tuborg,1,450,450,2,2018-08-12
163,Restaurant1,2,Cafe Latte,5,160,800,3,2018-08-13
164,Restaurant1,3,Chicken Mo:Mo,3,300,900,1,2018-08-13
165,Restaurant1,5,Mineral Water,2,80,160,2,2018-08-13
166,Restaurant1,9,Soft Drinks-Coke-250ml,1,100,100,2,2018-08-13
167,Restaurant1,2,Cafe Latte,1,160,160,3,2018-08-14
168,Restaurant1,3,Chicken Mo:Mo,7,300,2100,1,2018-08-14
169,Restaurant1,5,Mineral Water,9,80,720,2,2018-08-14
170,Restaurant1,9,Soft Drinks-Coke-250ml,3,100,300,2,2018-08-14
171,Restaurant1,10,Tuborg,11,450,4950,2,2018-08-14
172,Restaurant1,3,Chicken Mo:Mo,5,300,1500,1,2018-08-16
173,Restaurant1,5,Mineral Water,11,80,880,2,2018-08-16
174,Restaurant1,6,Mineral Water (P),39,60,2340,2,2018-08-16
175,Restaurant1,8,NCell Combo,555,120,66600,1,2018-08-16
176,Restaurant1,9,Soft Drinks-Coke-250ml,7,100,700,2,2018-08-16
177,Restaurant1,10,Tuborg,4,450,1800,2,2018-08-16
178,Restaurant1,3,Chicken Mo:Mo,8,300,2400,1,2018-08-17
179,Restaurant1,5,Mineral Water,9,80,720,2,2018-08-17
180,Restaurant1,9,Soft Drinks-Coke-250ml,1,100,100,2,2018-08-17
181,Restaurant1,10,Tuborg,1,450,450,2,2018-08-17
182,Restaurant1,2,Cafe Latte,1,160,160,3,2018-08-18
183,Restaurant1,3,Chicken Mo:Mo,13,300,3900,1,2018-08-18
184,Restaurant1,5,Mineral Water,11,80,880,2,2018-08-18
185,Restaurant1,9,Soft Drinks-Coke-250ml,7,100,700,2,2018-08-18
186,Restaurant1,10,Tuborg,1,450,450,2,2018-08-18
187,Restaurant1,2,Cafe Latte,5,160,800,3,2018-08-19
188,Restaurant1,3,Chicken Mo:Mo,4,300,1200,1,2018-08-19
189,Restaurant1,4,French Fries,3,215,645,1,2018-08-19
190,Restaurant1,5,Mineral Water,22,80,1760,2,2018-08-19
191,Restaurant1,7,Mustange Aloo,2,215,430,1,2018-08-19
192,Restaurant1,9,Soft Drinks-Coke-250ml,5,100,500,2,2018-08-19
193,Restaurant1,10,Tuborg,1,450,450,2,2018-08-19
194,Restaurant1,2,Cafe Latte,1,150,150,3,2018-08-20
195,Restaurant1,3,Chicken Mo:Mo,6,300,1800,1,2018-08-20
196,Restaurant1,4,French Fries,1,215,215,1,2018-08-20
197,Restaurant1,5,Mineral Water,6,80,480,2,2018-08-20
198,Restaurant1,7,Mustange Aloo,3,215,645,1,2018-08-20
199,Restaurant1,9,Soft Drinks-Coke-250ml,4,100,400,2,2018-08-20
200,Restaurant1,10,Tuborg,2,450,900,2,2018-08-20
201,Restaurant1,2,Cafe Latte,4,150,600,3,2018-08-21
202,Restaurant1,3,Chicken Mo:Mo,13,300,3900,1,2018-08-21
203,Restaurant1,4,French Fries,4,215,860,1,2018-08-21
204,Restaurant1,5,Mineral Water,16,80,1280,2,2018-08-21
205,Restaurant1,7,Mustange Aloo,3,215,645,1,2018-08-21
206,Restaurant1,9,Soft Drinks-Coke-250ml,2,100,200,2,2018-08-21
207,Restaurant1,2,Cafe Latte,1,150,150,3,2018-08-22
208,Restaurant1,3,Chicken Mo:Mo,8,300,2400,1,2018-08-22
209,Restaurant1,4,French Fries,3,215,645,1,2018-08-22
210,Restaurant1,5,Mineral Water,6,80,480,2,2018-08-22
211,Restaurant1,7,Mustange Aloo,3,215,645,1,2018-08-22
212,Restaurant1,10,Tuborg,5,450,2250,2,2018-08-22
213,Restaurant1,2,Cafe Latte,2,150,300,3,2018-08-23
214,Restaurant1,5,Mineral Water,2,80,160,2,2018-08-23
215,Restaurant1,6,Mineral Water (P),9,60,540,2,2018-08-23
216,Restaurant1,7,Mustange Aloo,1,215,215,1,2018-08-23
217,Restaurant1,9,Soft Drinks-Coke-250ml,1,100,100,2,2018-08-23
218,Restaurant1,2,Cafe Latte,2,150,300,3,2018-08-24
219,Restaurant1,3,Chicken Mo:Mo,14,300,4200,1,2018-08-24
220,Restaurant1,4,French Fries,4,215,860,1,2018-08-24
221,Restaurant1,5,Mineral Water,23,80,1840,2,2018-08-24
222,Restaurant1,7,Mustange Aloo,13,215,2795,1,2018-08-24
223,Restaurant1,9,Soft Drinks-Coke-250ml,5,100,500,2,2018-08-24
224,Restaurant1,10,Tuborg,6,450,2700,2,2018-08-24
225,Restaurant1,2,Cafe Latte,1,150,150,3,2018-08-25
226,Restaurant1,3,Chicken Mo:Mo,16,300,4800,1,2018-08-25
227,Restaurant1,4,French Fries,13,215,2795,1,2018-08-25
228,Restaurant1,5,Mineral Water,25,80,2000,2,2018-08-25
229,Restaurant1,7,Mustange Aloo,5,215,1075,1,2018-08-25
230,Restaurant1,9,Soft Drinks-Coke-250ml,9,100,900,2,2018-08-25
231,Restaurant1,3,Chicken Mo:Mo,4,300,1200,1,2018-08-26
232,Restaurant1,4,French Fries,5,215,1075,1,2018-08-26
233,Restaurant1,5,Mineral Water,6,80,480,2,2018-08-26
234,Restaurant1,7,Mustange Aloo,1,215,215,1,2018-08-26
235,Restaurant1,9,Soft Drinks-Coke-250ml,9,100,900,2,2018-08-26
236,Restaurant1,10,Tuborg,3,450,1350,2,2018-08-26
237,Restaurant1,2,Cafe Latte,4,150,600,3,2018-08-27
238,Restaurant1,3,Chicken Mo:Mo,12,300,3600,1,2018-08-27
239,Restaurant1,4,French Fries,8,215,1720,1,2018-08-27
240,Restaurant1,5,Mineral Water,12,80,960,2,2018-08-27
241,Restaurant1,7,Mustange Aloo,6,215,1290,1,2018-08-27
242,Restaurant1,9,Soft Drinks-Coke-250ml,5,100,500,2,2018-08-27
243,Restaurant1,10,Tuborg,8,450,3600,2,2018-08-27
244,Restaurant1,3,Chicken Mo:Mo,3,300,900,1,2018-08-28
245,Restaurant1,5,Mineral Water,1,80,80,2,2018-08-28
246,Restaurant1,7,Mustange Aloo,1,215,215,1,2018-08-28
247,Restaurant1,2,Cafe Latte,7,150,1050,3,2018-08-29
248,Restaurant1,3,Chicken Mo:Mo,11,300,3300,1,2018-08-29
249,Restaurant1,4,French Fries,3,215,645,1,2018-08-29
250,Restaurant1,5,Mineral Water,5,80,400,2,2018-08-29
251,Restaurant1,7,Mustange Aloo,1,215,215,1,2018-08-29
252,Restaurant1,9,Soft Drinks-Coke-250ml,4,100,400,2,2018-08-29
253,Restaurant1,10,Tuborg,4,450,1800,2,2018-08-29
254,Restaurant1,3,Chicken Mo:Mo,8,300,2400,1,2018-08-30
255,Restaurant1,5,Mineral Water,1,80,80,2,2018-08-30
256,Restaurant1,6,Mineral Water (P),6,60,360,2,2018-08-30
257,Restaurant1,7,Mustange Aloo,4,215,860,1,2018-08-30
258,Restaurant1,9,Soft Drinks-Coke-250ml,12,100,1200,2,2018-08-30
259,Restaurant1,2,Cafe Latte,4,150,600,3,2018-08-31
260,Restaurant1,3,Chicken Mo:Mo,5,300,1500,1,2018-08-31
261,Restaurant1,4,French Fries,1,215,215,1,2018-08-31
262,Restaurant1,5,Mineral Water,7,80,560,2,2018-08-31
263,Restaurant1,6,Mineral Water (P),73,60,4380,2,2018-08-31
264,Restaurant1,9,Soft Drinks-Coke-250ml,2,100,200,2,2018-08-31
265,Restaurant1,10,Tuborg,1,450,450,2,2018-08-31
266,Restaurant1,2,Cafe Latte,2,150,300,3,2018-09-01
267,Restaurant1,3,Chicken Mo:Mo,20,300,6000,1,2018-09-01
268,Restaurant1,4,French Fries,7,215,1505,1,2018-09-01
269,Restaurant1,5,Mineral Water,8,80,640,2,2018-09-01
270,Restaurant1,7,Mustange Aloo,2,215,430,1,2018-09-01
271,Restaurant1,9,Soft Drinks-Coke-250ml,8,100,800,2,2018-09-01
272,Restaurant1,10,Tuborg,1,450,450,2,2018-09-01
273,Restaurant1,4,French Fries,1,215,215,1,2018-09-02
274,Restaurant1,5,Mineral Water,5,80,400,2,2018-09-02
275,Restaurant1,7,Mustange Aloo,1,215,215,1,2018-09-02
276,Restaurant1,9,Soft Drinks-Coke-250ml,3,100,300,2,2018-09-02
277,Restaurant1,2,Cafe Latte,1,150,150,3,2018-09-03
278,Restaurant1,3,Chicken Mo:Mo,3,300,900,1,2018-09-03
279,Restaurant1,5,Mineral Water,2,80,160,2,2018-09-03
280,Restaurant1,7,Mustange Aloo,1,215,215,1,2018-09-03
281,Restaurant1,9,Soft Drinks-Coke-250ml,3,100,300,2,2018-09-03
282,Restaurant1,3,Chicken Mo:Mo,1,300,300,1,2018-09-04
283,Restaurant1,4,French Fries,1,215,215,1,2018-09-04
284,Restaurant1,5,Mineral Water,5,80,400,2,2018-09-04
285,Restaurant1,7,Mustange Aloo,5,215,1075,1,2018-09-04
286,Restaurant1,2,Cafe Latte,3,150,450,3,2018-09-05
287,Restaurant1,3,Chicken Mo:Mo,6,300,1800,1,2018-09-05
288,Restaurant1,5,Mineral Water,11,80,880,2,2018-09-05
289,Restaurant1,7,Mustange Aloo,1,215,215,1,2018-09-05
290,Restaurant1,10,Tuborg,20,450,9000,2,2018-09-05
291,Restaurant1,2,Cafe Latte,13,150,1950,3,2018-09-06
292,Restaurant1,4,French Fries,2,215,430,1,2018-09-06
293,Restaurant1,5,Mineral Water,9,80,720,2,2018-09-06
294,Restaurant1,7,Mustange Aloo,5,215,1075,1,2018-09-06
295,Restaurant1,10,Tuborg,2,450,900,2,2018-09-06
296,Restaurant1,3,Chicken Mo:Mo,6,300,1800,1,2018-09-07
297,Restaurant1,5,Mineral Water,10,80,800,2,2018-09-07
298,Restaurant1,7,Mustange Aloo,2,215,430,1,2018-09-07
299,Restaurant1,9,Soft Drinks-Coke-250ml,7,100,700,2,2018-09-07
300,Restaurant1,2,Cafe Latte,10,150,1500,3,2018-09-08
301,Restaurant1,3,Chicken Mo:Mo,17,300,5100,1,2018-09-08
302,Restaurant1,4,French Fries,5,215,1075,1,2018-09-08
303,Restaurant1,5,Mineral Water,24,80,1920,2,2018-09-08
304,Restaurant1,7,Mustange Aloo,10,215,2150,1,2018-09-08
305,Restaurant1,9,Soft Drinks-Coke-250ml,14,100,1400,2,2018-09-08
306,Restaurant1,10,Tuborg,5,450,2250,2,2018-09-08
307,Restaurant1,2,Cafe Latte,4,150,600,3,2018-09-09
308,Restaurant1,3,Chicken Mo:Mo,10,300,3000,1,2018-09-09
309,Restaurant1,4,French Fries,2,215,430,1,2018-09-09
310,Restaurant1,5,Mineral Water,16,80,1280,2,2018-09-09
311,Restaurant1,7,Mustange Aloo,7,215,1505,1,2018-09-09
312,Restaurant1,9,Soft Drinks-Coke-250ml,1,100,100,2,2018-09-09
313,Restaurant1,10,Tuborg,5,450,2250,2,2018-09-09
314,Restaurant1,2,Cafe Latte,4,150,600,3,2018-09-10
315,Restaurant1,3,Chicken Mo:Mo,16,300,4800,1,2018-09-10
316,Restaurant1,4,French Fries,1,215,215,1,2018-09-10
317,Restaurant1,5,Mineral Water,22,80,1760,2,2018-09-10
318,Restaurant1,7,Mustange Aloo,11,215,2365,1,2018-09-10
319,Restaurant1,9,Soft Drinks-Coke-250ml,4,100,400,2,2018-09-10
320,Restaurant1,3,Chicken Mo:Mo,2,300,600,1,2018-09-11
321,Restaurant1,5,Mineral Water,6,80,480,2,2018-09-11
322,Restaurant1,7,Mustange Aloo,2,215,430,1,2018-09-11
323,Restaurant1,9,Soft Drinks-Coke-250ml,3,100,300,2,2018-09-11
324,Restaurant1,10,Tuborg,2,450,900,2,2018-09-11
325,Restaurant1,2,Cafe Latte,2,150,300,3,2018-09-12
326,Restaurant1,3,Chicken Mo:Mo,7,300,2100,1,2018-09-12
327,Restaurant1,4,French Fries,3,215,645,1,2018-09-12
328,Restaurant1,5,Mineral Water,11,80,880,2,2018-09-12
329,Restaurant1,7,Mustange Aloo,3,215,645,1,2018-09-12
330,Restaurant1,9,Soft Drinks-Coke-250ml,1,100,100,2,2018-09-12
331,Restaurant1,10,Tuborg,3,450,1350,2,2018-09-12
332,Restaurant1,2,Cafe Latte,2,150,300,3,2018-09-13
333,Restaurant1,4,French Fries,1,215,215,1,2018-09-13
334,Restaurant1,5,Mineral Water,4,80,320,2,2018-09-13
335,Restaurant1,6,Mineral Water (P),6,60,360,2,2018-09-13
336,Restaurant1,10,Tuborg,2,450,900,2,2018-09-13
337,Restaurant1,3,Chicken Mo:Mo,15,300,4500,1,2018-09-14
338,Restaurant1,4,French Fries,4,215,860,1,2018-09-14
339,Restaurant1,5,Mineral Water,10,80,800,2,2018-09-14
340,Restaurant1,7,Mustange Aloo,5,215,1075,1,2018-09-14
341,Restaurant1,9,Soft Drinks-Coke-250ml,4,100,400,2,2018-09-14
342,Restaurant1,2,Cafe Latte,7,150,1050,3,2018-09-16
343,Restaurant1,3,Chicken Mo:Mo,11,300,3300,1,2018-09-16
344,Restaurant1,4,French Fries,4,215,860,1,2018-09-16
345,Restaurant1,5,Mineral Water,8,80,640,2,2018-09-16
346,Restaurant1,6,Mineral Water (P),9,60,540,2,2018-09-16
347,Restaurant1,7,Mustange Aloo,2,215,430,1,2018-09-16
348,Restaurant1,8,NCell Combo,570,120,68400,1,2018-09-16
349,Restaurant1,9,Soft Drinks-Coke-250ml,3,100,300,2,2018-09-16
350,Restaurant1,2,Cafe Latte,1,150,150,3,2018-09-17
351,Restaurant1,3,Chicken Mo:Mo,2,300,600,1,2018-09-17
352,Restaurant1,4,French Fries,4,215,860,1,2018-09-17
353,Restaurant1,5,Mineral Water,6,80,480,2,2018-09-17
354,Restaurant1,7,Mustange Aloo,2,215,430,1,2018-09-17
355,Restaurant1,9,Soft Drinks-Coke-250ml,2,100,200,2,2018-09-17
356,Restaurant1,2,Cafe Latte,2,150,300,3,2018-09-18
357,Restaurant1,3,Chicken Mo:Mo,7,300,2100,1,2018-09-18
358,Restaurant1,4,French Fries,4,215,860,1,2018-09-18
359,Restaurant1,5,Mineral Water,10,80,800,2,2018-09-18
360,Restaurant1,7,Mustange Aloo,4,215,860,1,2018-09-18
361,Restaurant1,9,Soft Drinks-Coke-250ml,2,100,200,2,2018-09-18
362,Restaurant1,10,Tuborg,3,450,1350,2,2018-09-18
363,Restaurant1,3,Chicken Mo:Mo,5,300,1500,1,2018-09-19
364,Restaurant1,4,French Fries,6,215,1290,1,2018-09-19
365,Restaurant1,5,Mineral Water,5,80,400,2,2018-09-19
366,Restaurant1,7,Mustange Aloo,2,215,430,1,2018-09-19
367,Restaurant1,9,Soft Drinks-Coke-250ml,4,100,400,2,2018-09-19
368,Restaurant1,10,Tuborg,6,450,2700,2,2018-09-19
369,Restaurant1,3,Chicken Mo:Mo,1,300,300,1,2018-09-20
370,Restaurant1,5,Mineral Water,6,80,480,2,2018-09-20
371,Restaurant1,6,Mineral Water (P),6,60,360,2,2018-09-20
372,Restaurant1,7,Mustange Aloo,2,215,430,1,2018-09-20
373,Restaurant1,9,Soft Drinks-Coke-250ml,3,100,300,2,2018-09-20
374,Restaurant1,2,Cafe Latte,2,150,300,3,2018-09-21
375,Restaurant1,3,Chicken Mo:Mo,22,300,6600,1,2018-09-21
376,Restaurant1,4,French Fries,3,215,645,1,2018-09-21
377,Restaurant1,5,Mineral Water,9,80,720,2,2018-09-21
378,Restaurant1,6,Mineral Water (P),18,60,1080,2,2018-09-21
379,Restaurant1,7,Mustange Aloo,11,215,2365,1,2018-09-21
380,Restaurant1,9,Soft Drinks-Coke-250ml,2,100,200,2,2018-09-21
381,Restaurant1,10,Tuborg,3,450,1350,2,2018-09-21
382,Restaurant1,2,Cafe Latte,6,150,900,3,2018-09-22
383,Restaurant1,3,Chicken Mo:Mo,6,300,1800,1,2018-09-22
384,Restaurant1,4,French Fries,3,215,645,1,2018-09-22
385,Restaurant1,5,Mineral Water,6,80,480,2,2018-09-22
386,Restaurant1,7,Mustange Aloo,2,215,430,1,2018-09-22
